file_name;group;control;supplement;short_name
GSM1058965_B324_H_Gene_1.0_ST_1_RB585-NN_.CEL;C.NO;C;NO;C.NO.1
GSM1058966_B325_H_Gene_1.0_ST_2_RB585-NI_.CEL;N.IM;N;IM;N.IM.1
GSM1058967_B326_H_Gene_1.0_ST_3_RB585-SN_.CEL;N.MSC;N;MSC;N.MSC.1
GSM1058968_B327_H_Gene_1.0_ST_4_RB585-SI_.CEL;N.MSCplusIM;N;MSCplusIM;N.MSCplusIM.1
GSM1058969_B328_H_Gene_1.0_ST_5_RB611-NN_.CEL;C.NO;C;NO;C.NO.2
GSM1058970_B329_H_Gene_1.0_ST_6_RB611-NI_.CEL;N.IM;N;IM;N.IM.2
GSM1058971_B330_H_Gene_1.0_ST_7_RB611-SN_.CEL;N.MSC;N;MSC;N.MSC.2
GSM1058972_B331_H_Gene_1.0_ST_8_RB611-SI_.CEL;N.MSCplusIM;N;MSCplusIM;N.MSCplusIM.2
GSM1058973_B332_H_Gene_1.0_ST_9_RB626-NN_.CEL;C.NO;C;NO;C.NO.3
GSM1058974_B333_H_Gene_1.0_ST_10_RB626-NI_.CEL;N.IM;N;IM;N.IM.3
GSM1058975_B333_H_Gene_1.0_ST_10_RB626-NI_.CEL;N.MSC;N;MSC;N.MSC.3
GSM1058976_B333_H_Gene_1.0_ST_10_RB626-NI_.CEL;N.MSCplusIM;N;MSCplusIM;N.MSCplusIM.3
