"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","7896759","LINC01128","643837","long intergenic non-protein coding RNA 1128",0.167106912335261,5.07676106200158,0.810299173225339,0.433069682569161,0.998867786241073,-5.06234643043739
"2","7896798","PLEKHN1","84069","pleckstrin homology domain containing N1",-0.101622141754305,6.40217251603037,-0.604986199969064,0.556116082282691,0.998867786241073,-5.17711853325282
"3","7896817","ISG15","9636","ISG15 ubiquitin like modifier",0.240167345760144,6.48489965701035,0.67899511664351,0.509636879432928,0.998867786241073,-5.13923138457104
"4","7896822","AGRN","375790","agrin",-0.201450581437014,6.6437134072827,-1.05000648964592,0.313782011207577,0.998867786241073,-4.89225444225676
"5","7896861","MIR200A","406983","microRNA 200a",0.11618535977647,3.2742868498537,0.505337147281472,0.622198679373414,0.998867786241073,-5.22167472537247
"6","7897076","MORN1","79906","MORN repeat containing 1",0.154976656477342,5.17325478638049,0.907322883859841,0.381558950235421,0.998867786241073,-4.99794521728372
"7","7897119","PRXL2B","127281","peroxiredoxin like 2B",-0.0666558322384061,7.67726683384573,-0.348720284937946,0.733158620226819,0.998867786241073,-5.27618817730437
"8","7897132","PRDM16","63976","PR/SET domain 16",-0.204070776181377,5.23864660918295,-1.17328079739673,0.262764363229117,0.998867786241073,-4.79115500608299
"9","7897227","AJAP1","55966","adherens junctions associated protein 1",0.059779650403228,4.40903332991331,0.330160951241631,0.746798791993621,0.998867786241073,-5.2813601746161
"10","7897236","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",-0.0365134827396822,9.92965161147076,-0.241896220839462,0.812821419222066,0.998867786241073,-5.30215155090747
"11","7897378","PER3","8863","period circadian regulator 3",0.0430536859779735,5.32279782498218,0.210704361817112,0.83654653768327,0.998867786241073,-5.30798333799922
"12","7897441","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.306912460906874,6.61423605551401,-1.21528233409548,0.246928416390911,0.998867786241073,-4.75477586373472
"13","7897449","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",-0.0558326039670591,4.62413295280112,-0.322700959146125,0.752307067040913,0.998867786241073,-5.28336112503396
"14","7897737","DRAXIN","374946","dorsal inhibitory axon guidance protein",0.102123114673189,6.79196949247652,0.587452402995644,0.567460976743584,0.998867786241073,-5.18550152050739
"15","7897745","AGTRAP","57085","angiotensin II receptor associated protein",0.155771260081609,8.45532798434902,0.766065313526879,0.457996599669509,0.998867786241073,-5.08959680554808
"16","7897801","RNU5E-1","26829","RNA, U5E small nuclear 1",1.49397704083827,7.20094389034426,2.14415034043866,0.0525208024382443,0.998867786241073,-3.76577843947113
"17","7897803","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.291307423872615,8.18632304883666,1.62702417408106,0.128901972560281,0.998867786241073,-4.35342791472176
"18","7897877","TNFRSF1B","7133","TNF receptor superfamily member 1B",0.0146242984463614,7.1144267449155,0.0281087523234819,0.978023492517239,0.998867786241073,-5.32604834909528
"19","7897960","AADACL3","126767","arylacetamide deacetylase like 3",-0.119235306580169,4.62405131980799,-0.658796873241196,0.522091693874464,0.998867786241073,-5.14996935139655
"20","7898161","EFHD2","79180","EF-hand domain family member D2",0.0752221682987031,8.62942602703376,0.482881469549751,0.637607102391426,0.998867786241073,-5.2306692285643
"21","7898227","PLEKHM2","23207","pleckstrin homology and RUN domain containing M2",-0.147189303187284,8.30905075782876,-0.811350937127816,0.432487898534792,0.998867786241073,-5.06168214191846
"22","7898256","TMEM82","388595","transmembrane protein 82",0.117018234959926,5.45946214130996,0.658562712644179,0.522237110703084,0.998867786241073,-5.15009209839157
"23","7898314","CLCNKB","1188","chloride voltage-gated channel Kb",0.0490464168418141,4.8836573691245,0.232735082944258,0.819770693165038,0.998867786241073,-5.30394686630865
"24","7898350","LINC01783","100132147","long intergenic non-protein coding RNA 1783",0.209307625108805,4.31793345065146,0.867874756274379,0.401974130003292,0.998867786241073,-5.02488362833031
"25","7898448","PADI4","23569","peptidyl arginine deiminase 4",0.319211300013478,5.03907734864026,1.50977725179277,0.156195491180328,0.998867786241073,-4.47518562539074
"26","7898533","KLHDC7A","127707","kelch domain containing 7A",0.112209565768605,5.96017299956687,0.677925491250366,0.510292030668078,0.998867786241073,-5.13980744774808
"27","7898549","MRTO4","51154","MRT4 homolog, ribosome maturation factor",-0.0268884150034543,7.81356504141616,-0.0930025500623145,0.92738979098115,0.998867786241073,-5.32278661456406
"28","7898623","UBXN10","127733","UBX domain protein 10",-0.0176223394216084,6.67148691241166,-0.0559573650435933,0.956268810888039,0.998867786241073,-5.32507648737332
"29","7898677","HS6ST1","9394","heparan sulfate 6-O-sulfotransferase 1",-0.225236565905181,8.49874026173271,-1.05114071464783,0.313281106704007,0.998867786241073,-4.89136431693227
"30","7898693","ALPL","249","alkaline phosphatase, biomineralization associated",0.152818542246693,5.13357916043393,0.522854685830059,0.610306157395099,0.998867786241073,-5.21438868505242
