"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","7896759","LINC01128","643837","long intergenic non-protein coding RNA 1128",0.452859719101279,5.07676106200158,2.19591069481687,0.0478356441698764,0.450133411638537,-3.89270363220331
"2","7896798","PLEKHN1","84069","pleckstrin homology domain containing N1",-0.125050191393827,6.40217251603037,-0.74446020119971,0.470494985538822,0.862024496479811,-5.63564024031569
"3","7896817","ISG15","9636","ISG15 ubiquitin like modifier",-0.397448335467409,6.48489965701035,-1.12365599930466,0.282477468440029,0.760954747739935,-5.30654462227803
"4","7896822","AGRN","375790","agrin",-0.611072894314234,6.6437134072827,-3.18505163946263,0.0075745305763366,0.282459000341716,-2.28914281260765
"5","7896861","MIR200A","406983","microRNA 200a",0.250837232404142,3.2742868498537,1.09099263193709,0.296056078321956,0.766651900291683,-5.33929633559767
"6","7897076","MORN1","79906","MORN repeat containing 1",0.244045531804182,5.17325478638049,1.4287835390361,0.177810652479557,0.66390934698554,-4.96537135005669
"7","7897119","PRXL2B","127281","peroxiredoxin like 2B",-0.13154862277042,7.67726683384573,-0.688216944792168,0.504009052913275,0.87706620279924,-5.6742993397191
"8","7897132","PRDM16","63976","PR/SET domain 16",-0.0791706023303114,5.23864660918295,-0.455182016605492,0.656858550644897,0.926800896055272,-5.80401494413794
"9","7897227","AJAP1","55966","adherens junctions associated protein 1",-0.0119321650160158,4.40903332991331,-0.0659009366144964,0.948509051178422,0.992294565501146,-5.90475906063295
"10","7897236","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",0.328798226142979,9.92965161147076,2.17823780025968,0.049389204427178,0.455229453085065,-3.91988744198575
"11","7897378","PER3","8863","period circadian regulator 3",0.11361440363004,5.32279782498218,0.556027895552232,0.58810122232746,0.901738714129081,-5.75402482192439
"12","7897441","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.0112474491476151,6.61423605551401,-0.0445365633325699,0.965187078269122,0.992294565501146,-5.90594126026122
"13","7897449","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",-0.263246168203232,4.62413295280112,-1.52150866939405,0.153257868413901,0.635722951261525,-4.85024353575095
"14","7897737","DRAXIN","374946","dorsal inhibitory axon guidance protein",-0.200274799582273,6.79196949247652,-1.1520595768214,0.27106013561043,0.757249513266536,-5.27743709240377
"15","7897745","AGTRAP","57085","angiotensin II receptor associated protein",0.180878704175655,8.45532798434902,0.889540863648812,0.390671583480376,0.829097789930161,-5.52339022777453
