"","x"
"1","ENSG00000227232"
"2","ENSG00000233750"
"3","ENSG00000237683"
"4","ENSG00000241860"
"5","ENSG00000228463"
"6","ENSG00000237094"
"7","ENSG00000225972"
"8","ENSG00000225630"
"9","ENSG00000237973"
"10","ENSG00000229344"
"11","ENSG00000240409"
"12","ENSG00000248527"
"13","ENSG00000198744"
"14","ENSG00000224956"
"15","ENSG00000228327"
"16","ENSG00000230699"
"17","ENSG00000272512"
"18","ENSG00000272141"
"19","ENSG00000260179"
"20","ENSG00000230415"
"21","ENSG00000240731"
"22","ENSG00000272455"
"23","ENSG00000225285"
"24","ENSG00000272106"
"25","ENSG00000269737"
"26","ENSG00000269227"
"27","ENSG00000227775"
"28","ENSG00000231050"
"29","ENSG00000271806"
"30","ENSG00000269554"
"31","ENSG00000203301"
"32","ENSG00000269753"
"33","ENSG00000272420"
"34","ENSG00000178642"
"35","ENSG00000272449"
"36","ENSG00000238164"
"37","ENSG00000238260"
"38","ENSG00000272153"
"39","ENSG00000228750"
"40","ENSG00000269925"
"41","ENSG00000236266"
"42","ENSG00000238290"
"43","ENSG00000232912"
"44","ENSG00000272078"
"45","ENSG00000271895"
"46","ENSG00000226849"
"47","ENSG00000242349"
"48","ENSG00000272482"
"49","ENSG00000228140"
"50","ENSG00000237301"
"51","ENSG00000178715"
"52","ENSG00000227959"
"53","ENSG00000237276"
"54","ENSG00000186301"
"55","ENSG00000268869"
"56","ENSG00000235241"
"57","ENSG00000272084"
"58","ENSG00000226396"
"59","ENSG00000227001"
"60","ENSG00000271840"
"61","ENSG00000272796"
"62","ENSG00000261326"
"63","ENSG00000271420"
"64","ENSG00000229106"
"65","ENSG00000261349"
"66","ENSG00000225643"
"67","ENSG00000233478"
"68","ENSG00000223474"
"69","ENSG00000270031"
"70","ENSG00000228589"
"71","ENSG00000270605"
"72","ENSG00000229447"
"73","ENSG00000229167"
"74","ENSG00000235790"
"75","ENSG00000212673"
"76","ENSG00000224066"
"77","ENSG00000220785"
"78","ENSG00000225313"
"79","ENSG00000230163"
"80","ENSG00000229994"
"81","ENSG00000239636"
"82","ENSG00000116883"
"83","ENSG00000270040"
"84","ENSG00000255103"
"85","ENSG00000182109"
"86","ENSG00000228477"
"87","ENSG00000259943"
"88","ENSG00000260920"
"89","ENSG00000238287"
"90","ENSG00000272145"
"91","ENSG00000230638"
"92","ENSG00000234917"
"93","ENSG00000228192"
"94","ENSG00000234694"
"95","ENSG00000229431"
"96","ENSG00000236200"
"97","ENSG00000237950"
"98","ENSG00000236624"
"99","ENSG00000234329"
"100","ENSG00000230896"
"101","ENSG00000232022"
"102","ENSG00000226252"
"103","ENSG00000242267"
"104","ENSG00000272491"
"105","ENSG00000272100"
"106","ENSG00000228929"
"107","ENSG00000230953"
"108","ENSG00000235563"
"109","ENSG00000270172"
"110","ENSG00000234578"
"111","ENSG00000230138"
"112","ENSG00000272091"
"113","ENSG00000203276"
"114","ENSG00000212670"
"115","ENSG00000248835"
"116","ENSG00000260971"
"117","ENSG00000234807"
"118","ENSG00000271200"
"119","ENSG00000185031"
"120","ENSG00000272506"
"121","ENSG00000271992"
"122","ENSG00000229956"
"123","ENSG00000272864"
"124","ENSG00000181227"
"125","ENSG00000226415"
"126","ENSG00000226084"
"127","ENSG00000273338"
"128","ENSG00000271576"
"129","ENSG00000241975"
"130","ENSG00000234518"
"131","ENSG00000272931"
"132","ENSG00000228175"
"133","ENSG00000069712"
"134","ENSG00000273487"
"135","ENSG00000229052"
"136","ENSG00000223745"
"137","ENSG00000260464"
"138","ENSG00000235565"
"139","ENSG00000235501"
"140","ENSG00000228502"
"141","ENSG00000137970"
"142","ENSG00000261254"
"143","ENSG00000224616"
"144","ENSG00000269175"
"145","ENSG00000260879"
"146","ENSG00000244716"
"147","ENSG00000273382"
"148","ENSG00000270066"
"149","ENSG00000258634"
"150","ENSG00000224965"
"151","ENSG00000273373"
"152","ENSG00000224699"
"153","ENSG00000259834"
"154","ENSG00000232811"
"155","ENSG00000260948"
"156","ENSG00000233337"
"157","ENSG00000231346"
"158","ENSG00000232450"
"159","ENSG00000224950"
"160","ENSG00000177173"
"161","ENSG00000225079"
"162","ENSG00000271427"
"163","ENSG00000224238"
"164","ENSG00000261662"
"165","ENSG00000273131"
"166","ENSG00000223345"
"167","ENSG00000269996"
"168","ENSG00000230880"
"169","ENSG00000203849"
"170","ENSG00000234978"
"171","ENSG00000232745"
"172","ENSG00000232274"
"173","ENSG00000230850"
"174","ENSG00000238261"
"175","ENSG00000223804"
"176","ENSG00000231360"
"177","ENSG00000236943"
"178","ENSG00000225241"
"179","ENSG00000168614"
"180","ENSG00000254539"
"181","ENSG00000268172"
"182","ENSG00000272755"
"183","ENSG00000223380"
"184","ENSG00000213240"
"185","ENSG00000163386"
"186","ENSG00000233396"
"187","ENSG00000117289"
"188","ENSG00000181039"
"189","ENSG00000152022"
"190","ENSG00000131795"
"191","ENSG00000121848"
"192","ENSG00000152042"
"193","ENSG00000232637"
"194","ENSG00000186275"
"195","ENSG00000227242"
"196","ENSG00000237188"
"197","ENSG00000271721"
"198","ENSG00000180867"
"199","ENSG00000226015"
"200","ENSG00000143140"
"201","ENSG00000122497"
"202","ENSG00000223612"
"203","ENSG00000203832"
"204","ENSG00000243452"
"205","ENSG00000226675"
"206","ENSG00000203827"
"207","ENSG00000226067"
"208","ENSG00000235999"
"209","ENSG00000253193"
"210","ENSG00000240929"
"211","ENSG00000269501"
"212","ENSG00000239903"
"213","ENSG00000223759"
"214","ENSG00000203815"
"215","ENSG00000163113"
"216","ENSG00000187145"
"217","ENSG00000237781"
"218","ENSG00000237976"
"219","ENSG00000238279"
"220","ENSG00000272654"
"221","ENSG00000232093"
"222","ENSG00000231064"
"223","ENSG00000236263"
"224","ENSG00000271267"
"225","ENSG00000246203"
"226","ENSG00000203761"
"227","ENSG00000273002"
"228","ENSG00000272405"
"229","ENSG00000224520"
"230","ENSG00000225670"
"231","ENSG00000188004"
"232","ENSG00000272668"
"233","ENSG00000260766"
"234","ENSG00000224261"
"235","ENSG00000235477"
"236","ENSG00000273075"
"237","ENSG00000244682"
"238","ENSG00000225217"
"239","ENSG00000229808"
"240","ENSG00000272574"
"241","ENSG00000269887"
"242","ENSG00000225171"
"243","ENSG00000272205"
"244","ENSG00000241666"
"245","ENSG00000213062"
"246","ENSG00000231407"
"247","ENSG00000271811"
"248","ENSG00000230630"
"249","ENSG00000270084"
"250","ENSG00000213058"
"251","ENSG00000272906"
"252","ENSG00000135847"
"253","ENSG00000243155"
"254","ENSG00000272198"
"255","ENSG00000261185"
"256","ENSG00000271387"
"257","ENSG00000231767"
"258","ENSG00000272579"
"259","ENSG00000229821"
"260","ENSG00000224818"
"261","ENSG00000223396"
"262","ENSG00000269690"
"263","ENSG00000273478"
"264","ENSG00000234678"
"265","ENSG00000236439"
