"","genes","logFC","logCPM","LR","PValue","FDR"
"1","ENSG00000068831",-2.93602710554147,5.87617934134544,63.8675170610937,1.33073822917122e-15,2.58921737249845e-11
"2","ENSG00000204282",-2.65855800880364,4.05165560686601,60.0805015307435,9.10559327921824e-15,8.85837642168746e-11
"3","ENSG00000213654",-2.17541595450751,4.73349564127125,54.1254688317103,1.88087451117817e-13,1.21987251213312e-09
"4","ENSG00000247982",-2.99968702300085,4.84740634484208,52.8353639600587,3.62711441110594e-13,1.54580221895425e-09
"5","ENSG00000065357",-2.05894455501835,5.85423772364104,52.5167395420092,4.26596649301768e-13,1.54580221895425e-09
"6","ENSG00000111913",-2.40014407170238,4.68450969727679,52.2987301842402,4.76682598228168e-13,1.54580221895425e-09
"7","ENSG00000205744",-2.33245849900718,4.85546237059622,51.0208150390288,9.1391670697275e-13,2.54029676679554e-09
"8","ENSG00000104921",-5.31353636461787,2.69799128762594,49.660219873078,1.82815306180653e-12,4.23643341197242e-09
"9","ENSG00000072818",-2.73007799894887,5.52901593354636,49.5239992575509,1.95959812446686e-12,4.23643341197242e-09
"10","ENSG00000007312",-3.68050846264613,4.00103255109607,49.0803337875326,2.45691199075154e-12,4.78041366040526e-09
"11","ENSG00000111679",-1.70621669177925,5.88486232560578,47.1400244319667,6.60921740547399e-12,1.09240884886665e-08
"12","ENSG00000009790",-3.16172034650761,4.49743007972234,47.1023828762684,6.7373727637353e-12,1.09240884886665e-08
"13","ENSG00000172794",-2.88599079903107,2.93364634698897,46.1978700470121,1.06893123556481e-11,1.59986115772189e-08
"14","ENSG00000102879",-3.00942735823159,6.14114997206209,45.8713504647972,1.26279305939582e-11,1.75501175404746e-08
"15","ENSG00000188822",-3.49485529191174,1.7235072078272,45.3077158302002,1.68384443261495e-11,2.18417074169261e-08
"16","ENSG00000104894",-3.22117251448371,5.59023629659754,45.0877916592719,1.88396229997169e-11,2.29101590440932e-08
"17","ENSG00000105122",-2.340042300111,5.40291530951518,44.9634373316956,2.00747919085786e-11,2.29761897744244e-08
"18","ENSG00000161929",-2.93929657177578,1.9663341391407,44.3815770632142,2.70218069422907e-11,2.91058888698151e-08
"19","ENSG00000167984",-2.12756512771924,4.32600662311367,44.2826606599301,2.84222587514256e-11,2.91058888698151e-08
"20","ENSG00000180448",-2.30378051631394,6.52898483832617,43.2190757058614,4.89412011198384e-11,4.76124475094348e-08
"21","ENSG00000170006",-2.47737386143139,2.63194182662754,42.5988303463936,6.71995569977411e-11,6.22619895478594e-08
"22","ENSG00000126882",-2.4816171900169,3.57330484026802,41.9936905813431,9.15683977289676e-11,8.09839233914783e-08
"23","ENSG00000141524",-1.96222507547573,6.1175997502262,41.4349558053912,1.21858756286146e-10,1.03087209611285e-07
"24","ENSG00000174718",-1.29338337143216,6.17943022364037,41.3447073468628,1.27616522000131e-10,1.03459777856523e-07
"25","ENSG00000245164",-3.49374821307365,3.90149383012315,41.1693714085848,1.39592907348589e-10,1.0864236793126e-07
"26","ENSG00000136490",-2.6821575733564,5.22384060027237,40.8484971104282,1.64499713871781e-10,1.2310272818474e-07
"27","ENSG00000148773",-3.53614522769007,2.99947975768199,40.7061446536582,1.76929947634758e-10,1.26742881909112e-07
"28","ENSG00000214900",-2.6138678804314,1.33379278258925,40.6467325345269,1.82391976844074e-10,1.26742881909112e-07
"29","ENSG00000241666",-3.83562715863083,-0.684386511041074,40.5396183636117,1.92669512412716e-10,1.29267955276352e-07
"30","ENSG00000169442",-3.15269838530052,4.00570090289,40.2126087461194,2.277733968128e-10,1.44597927617624e-07
"31","ENSG00000269220",-2.57917562067492,1.25569435778395,40.1903653898719,2.30381649593788e-10,1.44597927617624e-07
"32","ENSG00000238113",-2.08626386104174,2.34780693933942,39.5303546785013,3.22999468852712e-10,1.9639377079585e-07
"33","ENSG00000227507",-4.24771696761306,3.81604158359908,39.3756578879357,3.49628404601308e-10,2.06143026312959e-07
"34","ENSG00000125910",-1.98773024795364,2.79290475389367,39.2966726183192,3.64061188831407e-10,2.08339369149785e-07
"35","ENSG00000167895",-3.03001154298489,6.2059320797646,38.9774629844419,4.28726434975142e-10,2.36038536357954e-07
"36","ENSG00000188404",-2.86909227287606,3.98912263969706,38.9413708309053,4.36726489637989e-10,2.36038536357954e-07
"37","ENSG00000179088",-4.44664135673328,-0.990183363784813,38.8203234757151,4.6466470438764e-10,2.44350841980279e-07
"38","ENSG00000233355",-3.99174826315201,2.20998936281231,38.6356967819187,5.10761834272845e-10,2.58127819089755e-07
"39","ENSG00000272144",-2.10451163183824,0.127596182195337,38.589812875176,5.22911432615113e-10,2.58127819089755e-07
"40","ENSG00000086730",-2.42083396713347,3.80253789330599,38.561092366189,5.3066314249834e-10,2.58127819089755e-07
"41","ENSG00000175463",-2.02239078453902,5.18786036110877,38.2494197854626,6.22555854095614e-10,2.9544071349118e-07
"42","ENSG00000163568",-3.83421495807806,2.0688580710508,38.0521051745669,6.88803522419212e-10,3.19096431802634e-07
"43","ENSG00000234572",-5.47673721200481,-2.23511942399385,37.8485424282027,7.64554846799421e-10,3.45952178004101e-07
"44","ENSG00000159753",-3.20082889720367,4.53502651025288,37.508992041861,9.09925196437064e-10,3.98818344240955e-07
"45","ENSG00000177721",-1.77861073652139,2.44695009422803,37.4824674879012,9.22384000146116e-10,3.98818344240955e-07
"46","ENSG00000213402",-1.88746639857719,5.18131789116247,37.4287290928416,9.48151385411633e-10,4.01047424042481e-07
"47","ENSG00000263264",-3.79055287431044,0.899772398119719,37.3511098488389,9.86647165815966e-10,4.0845093415492e-07
"48","ENSG00000167525",-1.79877775525407,1.75137699599494,37.3054370422955,1.01002623350208e-09,4.09418342192708e-07
"49","ENSG00000142765",-1.66633446962922,5.76106387223559,37.1469698688097,1.09552849051156e-09,4.29198459402424e-07
"50","ENSG00000123329",-2.50272113428835,5.25005946683871,37.1117574117054,1.11549097973175e-09,4.29198459402424e-07
"51","ENSG00000110934",-2.34695079413541,3.88314203929719,37.0952057347231,1.12499981649399e-09,4.29198459402424e-07
"52","ENSG00000178199",-3.05687125313763,2.79428739829971,36.94482610847,1.21519731603292e-09,4.53902117780321e-07
"53","ENSG00000015285",-2.3639491258076,3.97958881318727,36.9110862291424,1.2364091197182e-09,4.53902117780321e-07
"54","ENSG00000149311",-1.15739155317935,6.71957321970983,36.8546985595003,1.27269006556713e-09,4.58569085291474e-07
"55","ENSG00000227039",-3.28739435342269,4.19854982476241,36.572625683758,1.47082789074199e-09,5.20325423093944e-07
"56","ENSG00000125354",-1.75185428899151,5.59992530883855,36.4509054341205,1.5656038470004e-09,5.4396346519798e-07
"57","ENSG00000232815",-2.05491919520513,1.36805184315975,36.2981718860258,1.69322616144411e-09,5.75480429306839e-07
"58","ENSG00000166501",-2.72964393389428,4.17567888690283,36.272737909529,1.71546820680458e-09,5.75480429306839e-07
"59","ENSG00000256069",-2.18240675870027,-0.692627186003802,36.0081378980884,1.96495167825855e-09,6.48001098370789e-07
"60","ENSG00000081059",-1.82056583723345,4.85788701380155,35.8645847855659,2.11518716902141e-09,6.85919945794159e-07
"61","ENSG00000104783",-3.04676375237742,3.70952149910968,35.6537611690764,2.35692388063644e-09,7.39066739946715e-07
"62","ENSG00000168071",-2.44646325944932,5.84676236717071,35.6459215986347,2.36642793975413e-09,7.39066739946715e-07
"63","ENSG00000152495",-2.75666656692004,2.49330268493977,35.6011271172096,2.42147393375556e-09,7.39066739946715e-07
"64","ENSG00000101057",-4.03056625198922,2.45043395379444,35.5721012981542,2.457825251511e-09,7.39066739946715e-07
"65","ENSG00000122986",-2.00616530937588,2.45831795083571,35.5632646104914,2.46900026193845e-09,7.39066739946715e-07
"66","ENSG00000128218",-3.75479809157631,1.4716411654465,35.5262991425901,2.51630161634166e-09,7.41813341653935e-07
"67","ENSG00000135426",-2.67801747524845,2.47859085333893,35.4220337639454,2.65466742631085e-09,7.70923344981049e-07
"68","ENSG00000178999",-3.31469943153103,0.79807018946543,35.3760284554538,2.71811726556711e-09,7.77741288766754e-07
"69","ENSG00000186854",-2.59127097593572,1.76389202514785,35.2119933323944,2.95696890666834e-09,8.33822377058636e-07
"70","ENSG00000112486",-2.27269872435694,1.82375824825054,35.1671914530171,3.02578434812353e-09,8.41038372306278e-07
"71","ENSG00000213445",-1.15212417089108,6.01180532636154,35.1174841243994,3.10401290429709e-09,8.50630691252233e-07
"72","ENSG00000123219",-2.10350594246663,0.66620180199337,35.0026306236958,3.29260196151877e-09,8.89779949517649e-07
"73","ENSG00000268027",-3.2809924884323,1.82048784664631,34.8031986800162,3.64773656310901e-09,9.52665415341834e-07
"74","ENSG00000214797",-4.62981693203138,-1.82990674006537,34.7975599119573,3.6583168175584e-09,9.52665415341834e-07
"75","ENSG00000112195",-3.86252809072662,0.134904727103665,34.7901879970443,3.67219541299468e-09,9.52665415341834e-07
"76","ENSG00000117322",-5.31238175545182,3.86270440936686,34.6843103874171,3.87744033407078e-09,9.92675744473884e-07
"77","ENSG00000122122",-2.74924777370388,4.53580097704554,34.6157033832098,4.01653037682744e-09,1.01493027976534e-06
"78","ENSG00000260682",-2.06779352702586,3.0964102152648,34.5653493923989,4.12178475523423e-09,1.02817392285375e-06
"79","ENSG00000152952",1.11878492774588,6.66439740933386,34.5311842018295,4.19476840299223e-09,1.03313428882304e-06
"80","ENSG00000076662",-1.96195421592633,4.36685806851993,34.4717876988449,4.32474539573318e-09,1.05183213955976e-06
"81","ENSG00000182487",-2.92359261977344,1.83692140403244,34.4108434690861,4.46230279596219e-09,1.06476943170255e-06
"82","ENSG00000023892",-1.93607551357309,5.08350957743361,34.3999330334344,4.48738723336635e-09,1.06476943170255e-06
"83","ENSG00000167483",-4.58610773920394,3.8869136535438,34.314904043078,4.68778038590721e-09,1.09891738516381e-06
"84","ENSG00000118308",-2.40710461459059,4.28149988378984,34.1181249855942,5.18659042212358e-09,1.18987102471888e-06
"85","ENSG00000169679",-2.78935304649923,1.02839833366272,34.1138192098997,5.19807971943797e-09,1.18987102471888e-06
"86","ENSG00000182866",-2.6860262833815,4.19754996092471,34.0243353658109,5.44270808951605e-09,1.22871068802761e-06
"87","ENSG00000144354",-2.67123558458934,1.89723745471755,34.006065019228,5.49405508857492e-09,1.22871068802761e-06
"88","ENSG00000143119",-2.60136749124773,5.58938788561577,33.9366421536888,5.69362433450485e-09,1.24044165391338e-06
"89","ENSG00000198286",-2.79412446559546,4.00301682622511,33.9153499530907,5.75627562902825e-09,1.24044165391338e-06
"90","ENSG00000180549",-2.85345653653753,0.320274328831971,33.8900907646347,5.83149558289507e-09,1.24044165391338e-06
"91","ENSG00000146094",-2.2723872863238,4.20029985381803,33.889950773457,5.8319151972237e-09,1.24044165391338e-06
"92","ENSG00000104814",-2.77586031422217,4.32426363637396,33.8788538785141,5.8652737914391e-09,1.24044165391338e-06
"93","ENSG00000145386",-1.59028268786328,2.13343530824281,33.848154936045,5.95855743618989e-09,1.24661991436502e-06
"94","ENSG00000013810",-1.99832577646092,3.36594209131756,33.7391993241843,6.30179532083029e-09,1.30440459103612e-06
"95","ENSG00000264198",-3.15614769424452,4.40074642024636,33.6589906523872,6.56706504169254e-09,1.34500404753907e-06
"96","ENSG00000250850",-5.20987527121781,-1.93759227928049,33.5505330770295,6.94363419866861e-09,1.40731552711974e-06
"97","ENSG00000166851",-1.81004453405803,2.00413156562224,33.4965757178143,7.13895674162502e-09,1.43198640537936e-06
"98","ENSG00000265206",-3.21130752605404,1.50633199348087,33.2549240332211,8.08348087341149e-09,1.60490089136701e-06
"99","ENSG00000240219",-1.92638339325583,2.75453952663099,33.2066918868708,8.28648699169871e-09,1.62858765047961e-06
"100","ENSG00000120899",-1.37602927751258,6.31924055156126,33.1379008866599,8.58489058040521e-09,1.66076638295075e-06
"101","ENSG00000128340",-2.62804500458416,3.59372929276828,33.1205453710134,8.66186102810662e-09,1.66076638295075e-06
