"","genes","logFC","logCPM","LR","PValue","ENSEMBL","SYMBOL","GENENAME"
"10671","ENSG00000068831",-2.93602710554147,5.87617934134544,63.8675170608238,2.58921737285315e-11,"ENSG00000068831","RASGRP2","RAS guanyl releasing protein 2"
"15890","ENSG00000204282",-2.65855800880364,4.05165560686601,60.080501530924,8.85837642087514e-11,"ENSG00000204282","TNRC6C-AS1","TNRC6C antisense RNA 1"
"6350","ENSG00000213654",-2.17541595450751,4.73349564127125,54.125468832294,1.21987251177073e-09,"ENSG00000213654","GPSM3","G protein signaling modulator 3"
"6151","ENSG00000111913",-2.40014407170237,4.68450969727679,52.2987301846932,1.54580221859769e-09,"ENSG00000111913","RIPOR2","RHO family interacting cell polarization regulator 2"
"11735","ENSG00000065357",-2.05894455501835,5.85423772364104,52.5167395423484,1.54580221859769e-09,"ENSG00000065357","DGKA","diacylglycerol kinase alpha"
"13562","ENSG00000247982",-2.99968702300085,4.84740634484208,52.8353639600875,1.54580221859769e-09,"ENSG00000247982","LINC00926","long intergenic non-protein coding RNA 926"
"16465","ENSG00000205744",-2.33245849900719,4.85546237059622,51.0208150394993,2.54029676618668e-09,"ENSG00000205744","DENND1C","DENN domain containing 1C"
"14977","ENSG00000072818",-2.73007799894888,5.52901593354636,49.5239992578298,4.23643341136999e-09,"ENSG00000072818","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"16494","ENSG00000104921",-5.31353636461788,2.69799128762594,49.6602198729029,4.23643341136999e-09,"ENSG00000104921","FCER2","Fc fragment of IgE receptor II"
"15725","ENSG00000007312",-3.68050846264612,4.00103255109607,49.0803337876284,4.7804136601718e-09,"ENSG00000007312","CD79B","CD79b molecule"
"1780","ENSG00000009790",-3.16172034650761,4.49743007972234,47.1023828766025,1.0924088486804e-08,"ENSG00000009790","TRAF3IP3","TRAF3 interacting protein 3"
"11340","ENSG00000111679",-1.70621669177925,5.88486232560578,47.1400244319174,1.0924088486804e-08,"ENSG00000111679","PTPN6","protein tyrosine phosphatase non-receptor type 6"
"15809","ENSG00000172794",-2.88599079903106,2.93364634698897,46.1978700467846,1.59986115790773e-08,"ENSG00000172794","RAB37","RAB37, member RAS oncogene family"
"14354","ENSG00000102879",-3.00942735823159,6.14114997206209,45.8713504650007,1.75501175386521e-08,"ENSG00000102879","CORO1A","coronin 1A"
"337","ENSG00000188822",-3.49485529191174,1.7235072078272,45.3077158300891,2.18417074181645e-08,"ENSG00000188822","CNR2","cannabinoid receptor 2"
"17341","ENSG00000104894",-3.22117251448372,5.59023629659754,45.0877916595639,2.29101590406776e-08,"ENSG00000104894","CD37","CD37 molecule"
"16699","ENSG00000105122",-2.340042300111,5.40291530951518,44.9634373311798,2.29761897804768e-08,"ENSG00000105122","RASAL3","RAS protein activator like 3"
"14099","ENSG00000167984",-2.12756512771924,4.32600662311367,44.2826606603538,2.91058888635157e-08,"ENSG00000167984","NLRC3","NLR family CARD domain containing 3"
"14929","ENSG00000161929",-2.93929657177578,1.9663341391407,44.3815770630355,2.91058888635157e-08,"ENSG00000161929","SCIMP","SLP adaptor and CSK interacting membrane protein"
"16312","ENSG00000180448",-2.30378051631393,6.52898483832617,43.2190757058498,4.76124475097176e-08,"ENSG00000180448","ARHGAP45","Rho GTPase activating protein 45"
"5010","ENSG00000170006",-2.47737386143139,2.63194182662754,42.5988303462113,6.22619895536622e-08,"ENSG00000170006","TMEM154","transmembrane protein 154"
"9289","ENSG00000126882",-2.4816171900169,3.57330484026802,41.9936905813646,8.09839233905869e-08,"ENSG00000126882","FAM78A","family with sequence similarity 78 member A"
"15891","ENSG00000141524",-1.96222507547573,6.1175997502262,41.4349558056801,1.03087209596049e-07,"ENSG00000141524","TMC6","transmembrane channel like 6"
"11527","ENSG00000174718",-1.29338337143216,6.17943022364037,41.3447073471169,1.03459777843073e-07,"ENSG00000174718","RESF1","retroelement silencing factor 1"
"8529","ENSG00000245164",-3.49374821307366,3.90149383012315,41.1693714087089,1.0864236792436e-07,"ENSG00000245164","LINC00861","long intergenic non-protein coding RNA 861"
"15717","ENSG00000136490",-2.6821575733564,5.22384060027237,40.8484971109419,1.23102728152381e-07,"ENSG00000136490","LIMD2","LIM domain containing 2"
"10147","ENSG00000148773",-3.53614522769007,2.99947975768199,40.7061446535682,1.26742881906582e-07,"ENSG00000148773","MKI67","marker of proliferation Ki-67"
"12774","ENSG00000214900",-2.6138678804314,1.33379278258925,40.6467325345659,1.26742881906582e-07,"ENSG00000214900","LINC01588","long intergenic non-protein coding RNA 1588"
"1510","ENSG00000241666",-3.83562715863083,-0.684386511041074,40.5396183635967,1.29267955277348e-07,"ENSG00000241666","AL031733.2","GAJ protein pseudogene"
"377","ENSG00000169442",-3.15269838530052,4.00570090289,40.2126087461754,1.44597927613155e-07,"ENSG00000169442","CD52","CD52 molecule"
"18369","ENSG00000269220",-2.57917562067493,1.25569435778395,40.1903653899323,1.44597927613155e-07,"ENSG00000269220","LINC00528","long intergenic non-protein coding RNA 528"
"8866","ENSG00000238113",-2.08626386104173,2.34780693933942,39.5303546781464,1.96393770831544e-07,"ENSG00000238113","LINC01410","long intergenic non-protein coding RNA 1410"
"6298","ENSG00000227507",-4.24771696761307,3.81604158359908,39.3756578880592,2.06143026299925e-07,"ENSG00000227507","LTB","lymphotoxin beta"
"16387","ENSG00000125910",-1.98773024795365,2.79290475389367,39.296672617976,2.08339369186399e-07,"ENSG00000125910","S1PR4","sphingosine-1-phosphate receptor 4"
"1531","ENSG00000188404",-2.86909227287606,3.98912263969706,38.9413708306725,2.36038536386098e-07,"ENSG00000188404","SELL","selectin L"
"15892","ENSG00000167895",-3.03001154298489,6.2059320797646,38.9774629841244,2.36038536386098e-07,"ENSG00000167895","TMC8","transmembrane channel like 8"
"11991","ENSG00000179088",-4.44664135673324,-0.990183363784813,38.82032347562,2.44350841992187e-07,"ENSG00000179088","C12orf42","chromosome 12 open reading frame 42"
"1960","ENSG00000233355",-3.99174826315201,2.20998936281231,38.6356967818565,2.58127819076783e-07,"ENSG00000233355","CHRM3-AS2","CHRM3 antisense RNA 2"
"5271","ENSG00000272144",-2.10451163183827,0.127596182195337,38.5898128753316,2.58127819076783e-07,"ENSG00000272144","AC025171.4","novel transcript, antisense to CCDC90B"
"7421","ENSG00000086730",-2.42083396713347,3.80253789330599,38.561092366287,2.58127819076783e-07,"ENSG00000086730","LAT2","linker for activation of T cells family member 2"
"10783","ENSG00000175463",-2.02239078453901,5.18786036110877,38.2494197853273,2.95440713511667e-07,"ENSG00000175463","TBC1D10C","TBC1 domain family member 10C"
"1406","ENSG00000163568",-3.83421495807806,2.0688580710508,38.0521051745386,3.19096431807276e-07,"ENSG00000163568","AIM2","absent in melanoma 2"
"2347","ENSG00000234572",-5.47673721200549,-2.23511942399385,37.8485424275471,3.45952178120355e-07,"ENSG00000234572","LINC01800","long intergenic non-protein coding RNA 1800"
"5269","ENSG00000177721",-1.77861073652138,2.44695009422803,37.4824674874583,3.98818344331504e-07,"ENSG00000177721","ANXA2R","annexin A2 receptor"
"14575","ENSG00000159753",-3.20082889720369,4.53502651025288,37.5089920422848,3.98818344331504e-07,"ENSG00000159753","CARMIL2","capping protein regulator and myosin 1 linker 2"
"10786","ENSG00000213402",-1.8874663985772,5.18131789116247,37.428729093199,4.01047423968978e-07,"ENSG00000213402","PTPRCAP","protein tyrosine phosphatase receptor type C associated protein"
"16479","ENSG00000263264",-3.79055287431044,0.899772398119719,37.351109848911,4.08450934139807e-07,"ENSG00000263264","AC119396.1","novel transcript, antisense to EEF2K"
"15202","ENSG00000167525",-1.79877775525403,1.75137699599494,37.3054370421025,4.09418342233219e-07,"ENSG00000167525","PROCA1","protein interacting with cyclin A1"
"397","ENSG00000142765",-1.66633446962922,5.76106387223559,37.1469698690514,4.29198459373404e-07,"ENSG00000142765","SYTL1","synaptotagmin like 1"
"11641","ENSG00000110934",-2.34695079413541,3.88314203929719,37.095205734855,4.29198459373404e-07,"ENSG00000110934","BIN2","bridging integrator 2"
"11784","ENSG00000123329",-2.50272113428836,5.25005946683871,37.1117574120062,4.29198459373404e-07,"ENSG00000123329","ARHGAP9","Rho GTPase activating protein 9"
"6918","ENSG00000178199",-3.05687125313763,2.79428739829971,36.9448261083082,4.53902117740231e-07,"ENSG00000178199","ZC3H12D","zinc finger CCCH-type containing 12D"
"19084","ENSG00000015285",-2.3639491258076,3.97958881318727,36.9110862293146,4.53902117740231e-07,"ENSG00000015285","WAS","WASP actin nucleation promoting factor"
"11036","ENSG00000149311",-1.15739155317935,6.71957321970983,36.8546985588592,4.58569085442273e-07,"ENSG00000149311","ATM","ATM serine/threonine kinase"
"18328","ENSG00000227039",-3.2873943534227,4.19854982476241,36.5726256839666,5.20325423038284e-07,"ENSG00000227039","ITGB2-AS1","ITGB2 antisense RNA 1"
"19369","ENSG00000125354",-1.75185428899151,5.59992530883855,36.4509054345078,5.43963465089898e-07,"ENSG00000125354","SEPTIN6","septin 6"
"8874","ENSG00000232815",-2.05491919520513,1.36805184315975,36.2981718860268,5.75480429361377e-07,"ENSG00000232815","DUX4L50","ribosomal protein L23a pseudogene 82 [Source:HGNC Symbol;Acc:HGNC:33730]"
"14277","ENSG00000166501",-2.72964393389428,4.17567888690283,36.2727379093443,5.75480429361377e-07,"ENSG00000166501","PRKCB","protein kinase C beta"
"11383","ENSG00000256069",-2.18240675870027,-0.692627186003802,36.0081378980455,6.48001098385053e-07,"ENSG00000256069","A2MP1","alpha-2-macroglobulin pseudogene 1"
"5643","ENSG00000081059",-1.82056583723345,4.85788701380155,35.8645847860246,6.85919945632684e-07,"ENSG00000081059","TCF7","transcription factor 7"
"5541","ENSG00000152495",-2.75666656692003,2.49330268493977,35.6011271170049,7.39066740071533e-07,"ENSG00000152495","CAMK4","calcium/calmodulin dependent protein kinase IV"
"10668","ENSG00000168071",-2.44646325944933,5.84676236717071,35.6459215988051,7.39066740071533e-07,"ENSG00000168071","CCDC88B","coiled-coil domain containing 88B"
"12061","ENSG00000122986",-2.00616530937588,2.45831795083571,35.5632646101624,7.39066740071533e-07,"ENSG00000122986","HVCN1","hydrogen voltage gated channel 1"
"17180","ENSG00000104783",-3.04676375237742,3.70952149910968,35.6537611689405,7.39066740071533e-07,"ENSG00000104783","KCNN4","potassium calcium-activated channel subfamily N member 4"
"17939","ENSG00000101057",-4.03056625198922,2.45043395379444,35.5721012980737,7.39066740071533e-07,"ENSG00000101057","MYBL2","MYB proto-oncogene like 2"
