"","genes","logFC","logCPM","LR","PValue","ENSEMBL","SYMBOL","GENENAME"
"15890","ENSG00000204282",-3.16740548435468,4.05165560686601,81.5267472296624,3.3642238688831e-15,"ENSG00000204282","TNRC6C-AS1","TNRC6C antisense RNA 1"
"14977","ENSG00000072818",-3.5468749586302,5.52901593354636,77.7720034382803,7.72513856053851e-15,"ENSG00000072818","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"16699","ENSG00000105122",-3.18721247928403,5.40291530951518,77.7137226910294,7.72513856053851e-15,"ENSG00000105122","RASAL3","RAS protein activator like 3"
"15809","ENSG00000172794",-3.89803749244535,2.93364634698897,76.6252369275118,1.00535046213616e-14,"ENSG00000172794","RAB37","RAB37, member RAS oncogene family"
"16465","ENSG00000205744",-2.87082767867303,4.85546237059622,73.9543152809508,3.11101856182393e-14,"ENSG00000205744","DENND1C","DENN domain containing 1C"
"6350","ENSG00000213654",-2.56364124584315,4.73349564127125,72.9140175266712,3.46492195136712e-14,"ENSG00000213654","GPSM3","G protein signaling modulator 3"
"11784","ENSG00000123329",-3.70357416326187,5.25005946683871,73.1590092026829,3.46492195136712e-14,"ENSG00000123329","ARHGAP9","Rho GTPase activating protein 9"
"13562","ENSG00000247982",-3.62238241830393,4.84740634484208,72.8139706197596,3.46492195136712e-14,"ENSG00000247982","LINC00926","long intergenic non-protein coding RNA 926"
"10668","ENSG00000168071",-3.67870188345887,5.84676236717071,72.4212958739213,3.75796792342134e-14,"ENSG00000168071","CCDC88B","coiled-coil domain containing 88B"
"15725","ENSG00000007312",-4.63602223174661,4.00103255109607,71.0115100331427,6.91009383911284e-14,"ENSG00000007312","CD79B","CD79b molecule"
"17341","ENSG00000104894",-4.16213443479833,5.59023629659754,68.9772496642145,1.76184639089814e-13,"ENSG00000104894","CD37","CD37 molecule"
"1780","ENSG00000009790",-3.94369510708861,4.49743007972234,68.1491644488988,2.45780324194811e-13,"ENSG00000009790","TRAF3IP3","TRAF3 interacting protein 3"
"11394","ENSG00000213443",-2.85863631342764,2.68843291307544,67.9868599501526,2.46338648171968e-13,"ENSG00000213443","AC007068.1","acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) (ACAA2) pseudogene"
"9472","ENSG00000271046",-8.4251726513031,-0.382327419941505,67.0940457614707,3.59758607129395e-13,"ENSG00000271046","AL512631.1","ribosomal protein S3A pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:18630]"
"16494","ENSG00000104921",-6.54635431120975,2.69799128762594,66.6898607785629,4.12183996543116e-13,"ENSG00000104921","FCER2","Fc fragment of IgE receptor II"
"10671","ENSG00000068831",-3.00438252149779,5.87617934134544,66.4753922407616,4.3083752109973e-13,"ENSG00000068831","RASGRP2","RAS guanyl releasing protein 2"
"14099","ENSG00000167984",-2.64680522132056,4.32600662311367,65.7908594869977,5.4198807212078e-13,"ENSG00000167984","NLRC3","NLR family CARD domain containing 3"
"14575","ENSG00000159753",-4.51065425742263,4.53502651025288,65.8467142041657,5.4198807212078e-13,"ENSG00000159753","CARMIL2","capping protein regulator and myosin 1 linker 2"
"18328","ENSG00000227039",-4.71090626177682,4.19854982476241,65.6180661372318,5.60512249413595e-13,"ENSG00000227039","ITGB2-AS1","ITGB2 antisense RNA 1"
"377","ENSG00000169442",-4.20394346241797,4.00570090289,64.7827310212925,7.66229992461468e-13,"ENSG00000169442","CD52","CD52 molecule"
"11735","ENSG00000065357",-2.30676874242602,5.85423772364104,64.7267935730518,7.66229992461468e-13,"ENSG00000065357","DGKA","diacylglycerol kinase alpha"
"15892","ENSG00000167895",-4.10069553033668,6.2059320797646,64.7130874435617,7.66229992461468e-13,"ENSG00000167895","TMC8","transmembrane channel like 8"
"14354","ENSG00000102879",-3.63601067839196,6.14114997206209,63.2895099742748,1.44672621305213e-12,"ENSG00000102879","CORO1A","coronin 1A"
"15717","ENSG00000136490",-3.45469212278012,5.22384060027237,63.3366574670623,1.44672621305213e-12,"ENSG00000136490","LIMD2","LIM domain containing 2"
"14505","ENSG00000159618",-4.37744275489325,2.47827900304562,63.1835800805961,1.46559181709991e-12,"ENSG00000159618","ADGRG5","adhesion G protein-coupled receptor G5"
"1960","ENSG00000233355",-5.45807857526056,2.20998936281231,62.3135498548511,2.17710244279916e-12,"ENSG00000233355","CHRM3-AS2","CHRM3 antisense RNA 2"
"7427","ENSG00000158517",-3.81666880262249,2.51458353256065,62.2525913602334,2.17710244279916e-12,"ENSG00000158517","NCF1","neutrophil cytosolic factor 1"
"6298","ENSG00000227507",-5.73679362372431,3.81604158359908,62.1689873632878,2.19039323729029e-12,"ENSG00000227507","LTB","lymphotoxin beta"
"466","ENSG00000182866",-3.81654863719171,4.19754996092471,62.0543284881034,2.24165545629487e-12,"ENSG00000182866","LCK","LCK proto-oncogene, Src family tyrosine kinase"
"8529","ENSG00000245164",-4.47602651413733,3.90149383012315,61.52718045935,2.83211747232402e-12,"ENSG00000245164","LINC00861","long intergenic non-protein coding RNA 861"
"18678","ENSG00000128340",-3.76020461131705,3.59372929276828,61.2533343450457,3.14974312045704e-12,"ENSG00000128340","RAC2","Rac family small GTPase 2"
"7421","ENSG00000086730",-3.12643534393106,3.80253789330599,60.5703527609635,4.31673270384366e-12,"ENSG00000086730","LAT2","linker for activation of T cells family member 2"
"7072","ENSG00000198286",-3.92626662349773,4.00301682622511,60.412504207384,4.53541316286746e-12,"ENSG00000198286","CARD11","caspase recruitment domain family member 11"
"12774","ENSG00000214900",-3.28006901535266,1.33379278258925,59.9219360413159,5.64798350871748e-12,"ENSG00000214900","LINC01588","long intergenic non-protein coding RNA 1588"
"11641","ENSG00000110934",-3.07032842796738,3.88314203929719,59.7510490858193,5.98429360351437e-12,"ENSG00000110934","BIN2","bridging integrator 2"
"6418","ENSG00000023892",-2.61388125901229,5.08350957743361,59.5900744847253,6.3139518305309e-12,"ENSG00000023892","DEF6","DEF6 guanine nucleotide exchange factor"
"9289","ENSG00000126882",-3.02163351945332,3.57330484026802,59.453842690157,6.44258995119529e-12,"ENSG00000126882","FAM78A","family with sequence similarity 78 member A"
"16312","ENSG00000180448",-2.75012239536847,6.52898483832617,59.4439806684462,6.44258995119529e-12,"ENSG00000180448","ARHGAP45","Rho GTPase activating protein 45"
"15672","ENSG00000265206",-4.59944871399366,1.50633199348087,59.3412061659039,6.6139473679272e-12,"ENSG00000265206","AC004687.1","novel transcript, antisense to a novel protein"
"18729","ENSG00000243811",-2.92817393927389,3.12536034285689,59.2682837306331,6.69204630932945e-12,"ENSG00000243811","APOBEC3D","apolipoprotein B mRNA editing enzyme catalytic subunit 3D"
"5010","ENSG00000170006",-2.98508673099283,2.63194182662754,59.1301710101947,7.00352447220327e-12,"ENSG00000170006","TMEM154","transmembrane protein 154"
"19369","ENSG00000125354",-2.26862711784658,5.59992530883855,58.9754462813252,7.39605956219261e-12,"ENSG00000125354","SEPTIN6","septin 6"
"14367","ENSG00000005844",-3.84355513655844,5.41787578190816,58.8682138948244,7.62867724017363e-12,"ENSG00000005844","ITGAL","integrin subunit alpha L"
"1690","ENSG00000143851",-3.90742668772827,4.07892229673402,58.5970280385045,8.36687971925423e-12,"ENSG00000143851","PTPN7","protein tyrosine phosphatase non-receptor type 7"
"16556","ENSG00000076662",-2.62407690633691,4.36685806851993,58.625008549678,8.36687971925423e-12,"ENSG00000076662","ICAM3","intercellular adhesion molecule 3"
"11393","ENSG00000069493",-2.57329061388088,4.33893348837208,58.5056902987614,8.57393124291285e-12,"ENSG00000069493","CLEC2D","C-type lectin domain family 2 member D"
"1395","ENSG00000160856",-5.98239532467764,3.96139943693575,57.972149646482,1.10058377734314e-11,"ENSG00000160856","FCRL3","Fc receptor like 3"
"12619","ENSG00000229164",-3.646851410063,4.57881682263145,57.8836434760095,1.12724883667822e-11,"ENSG00000229164","None","DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 (DDX50) pseudogene"
"11720","ENSG00000135426",-3.55620733837642,2.47859085333893,57.6150428506749,1.26581004828625e-11,"ENSG00000135426","TESPA1","thymocyte expressed, positive selection associated 1"
"14277","ENSG00000166501",-3.56654090881147,4.17567888690283,57.4806623601529,1.32820701352929e-11,"ENSG00000166501","PRKCB","protein kinase C beta"
"16751","ENSG00000167483",-6.45439803205663,3.8869136535438,56.8234470374311,1.818840403448e-11,"ENSG00000167483","NIBAN3","niban apoptosis regulator 3"
"1406","ENSG00000163568",-4.94765184306462,2.0688580710508,56.7054297666177,1.89419790637209e-11,"ENSG00000163568","AIM2","absent in melanoma 2"
"17515","ENSG00000104972",-3.58947566006465,3.42168031724241,56.6192217920123,1.9417453671375e-11,"ENSG00000104972","LILRB1","leukocyte immunoglobulin like receptor B1"
"16764","ENSG00000099308",-1.55116827882477,4.90138943895453,56.4202193304323,2.07998146814457e-11,"ENSG00000099308","MAST3","microtubule associated serine/threonine kinase 3"
"18169","ENSG00000234883",-3.57886509311467,1.88391588067587,56.394922818809,2.07998146814457e-11,"ENSG00000234883","MIR155HG","MIR155 host gene"
"19186","ENSG00000147168",-3.75457539593193,4.64042613200663,56.3757279935555,2.07998146814457e-11,"ENSG00000147168","IL2RG","interleukin 2 receptor subunit gamma"
"19399","ENSG00000122122",-3.64491657039001,4.53580097704554,56.1761611179359,2.26179310547935e-11,"ENSG00000122122","SASH3","SAM and SH3 domain containing 3"
"18821","ENSG00000138964",-3.34309122131082,5.0847772573999,56.0049366666395,2.42505594090901e-11,"ENSG00000138964","PARVG","parvin gamma"
