"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","7896759","LINC01128","643837","long intergenic non-protein coding RNA 1128",0.375510443200927,5.07676106200158,1.82084509498167,0.092875969372154,0.455188995724984,-4.55491371755868
"2","7896798","PLEKHN1","84069","pleckstrin homology domain containing N1",-0.261570208759835,6.40217251603037,-1.55720361616983,0.144608696462412,0.539081422016975,-4.91952487223209
"3","7896817","ISG15","9636","ISG15 ubiquitin like modifier",-0.161648716775476,6.48489965701035,-0.457009211451479,0.655580498030751,0.909730721571638,-5.93866802187986
"4","7896822","AGRN","375790","agrin",-0.446513803167192,6.6437134072827,-2.32733203199327,0.0376520066701966,0.339027943837079,-3.77584512886759
"5","7896861","MIR200A","406983","microRNA 200a",-0.0409034813912483,3.2742868498537,-0.177905793293591,0.861675048617238,0.97376025238353,-6.02823510717697
"6","7897076","MORN1","79906","MORN repeat containing 1",0.0615382817012904,5.17325478638049,0.360280654455578,0.724709651522096,0.936711211340353,-5.97846001800759
"7","7897119","PRXL2B","127281","peroxiredoxin like 2B",-0.259228284660557,7.67726683384573,-1.35619282296979,0.199259144714353,0.606805356557302,-5.17225545875083
"8","7897132","PRDM16","63976","PR/SET domain 16",-0.248270118116094,5.23864660918295,-1.42739968751887,0.178200777315397,0.575058063970469,-5.08549572563489
"9","7897227","AJAP1","55966","adherens junctions associated protein 1",-0.0662257453563129,4.40903332991331,-0.365762511758443,0.720716265682235,0.936406394436505,-5.97645033684178
"10","7897236","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",0.450643803896481,9.92965161147076,2.98544605795188,0.0110320358345355,0.236744437962946,-2.67676384511768
"11","7897378","PER3","8863","period circadian regulator 3",0.245515820679747,5.32279782498218,1.20155227449739,0.252020510984899,0.665454261752933,-5.34929229130528
"12","7897441","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.0540877243383004,6.61423605551401,-0.214171349333735,0.833900726953457,0.970388550730594,-6.02099868031957
"13","7897449","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",-0.136455777421669,4.62413295280112,-0.788686307394561,0.445137351469783,0.817156160228377,-5.73490735569815
"14","7897737","DRAXIN","374946","dorsal inhibitory axon guidance protein",-0.176078028117065,6.79196949247652,-1.01287021124573,0.330510501875648,0.744043976710489,-5.54224195197274
"15","7897745","AGTRAP","57085","angiotensin II receptor associated protein",0.323799041524952,8.45532798434902,1.59240680299793,0.136493744983829,0.527260320319305,-4.87287492966448
"16","7897801","RNU5E-1","26829","RNA, U5E small nuclear 1",1.1239910845132,7.20094389034426,1.61314786012825,0.131899776982708,0.518886664467928,-4.84507835442382
"17","7897803","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.525648303293124,8.18632304883666,2.93587607604739,0.0121113657701197,0.246310538618515,-2.76121199688441
"18","7897877","TNFRSF1B","7133","TNF receptor superfamily member 1B",-0.194552816737348,7.1144267449155,-0.373941831094572,0.714773783488618,0.934429189028604,-5.97339662125456
"19","7897960","AADACL3","126767","arylacetamide deacetylase like 3",0.0931451883778927,4.62405131980799,0.514644199111942,0.615866079298185,0.900667550813,-5.91063948241852
"20","7898161","EFHD2","79180","EF-hand domain family member D2",0.422601620787463,8.62942602703376,2.71285043086793,0.0184138991690673,0.276171376551683,-3.13887239676872
"21","7898227","PLEKHM2","23207","pleckstrin homology and RUN domain containing M2",-0.254514612047785,8.30905075782876,-1.40295975676263,0.185209391689288,0.588153132894218,-5.11562921733101
"22","7898256","TMEM82","388595","transmembrane protein 82",-0.0476605866709852,5.45946214130996,-0.268227300257998,0.7929418422847,0.95907233109242,-6.00775023159639
"23","7898314","CLCNKB","1188","chloride voltage-gated channel Kb",0.117936088914933,4.8836573691245,0.559630391028646,0.585715300796183,0.893425308015395,-5.88655681994219
"24","7898350","LINC01783","100132147","long intergenic non-protein coding RNA 1783",-0.174855879873002,4.31793345065146,-0.725023773257366,0.481918033610158,0.842550784176703,-5.78181379894628
"25","7898448","PADI4","23569","peptidyl arginine deiminase 4",0.430547751414712,5.03907734864026,2.03636650979778,0.0636900922398001,0.408720950321607,-4.23399652713159
"26","7898533","KLHDC7A","127707","kelch domain containing 7A",-0.020092359751013,5.96017299956687,-0.121390032670419,0.905330339641603,0.983755334835726,-6.03685503089741
"27","7898549","MRTO4","51154","MRT4 homolog, ribosome maturation factor",0.0906016768955107,7.81356504141616,0.313376113471987,0.759212281224789,0.945678369844923,-5.99443877951328
"28","7898623","UBXN10","127733","UBX domain protein 10",-0.411163702345578,6.67148691241166,-1.30559495163367,0.215433591423657,0.623787810741895,-5.23194386088011
"29","7898677","HS6ST1","9394","heparan sulfate 6-O-sulfotransferase 1",-0.0803504625552858,8.49874026173271,-0.374981931966597,0.714019506390975,0.933899952263123,-5.97300357718222
"30","7898693","ALPL","249","alkaline phosphatase, biomineralization associated",-0.125926746869957,5.13357916043393,-0.430846863896959,0.673986495289002,0.917300104233368,-5.9503324617858
