initial_alias,converted_alias,name,description,namespace
ENSG00000227232,ENSG00000227232,WASH7P,"WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]","ARRAYEXPRESS,ENSG"
ENSG00000233750,ENSG00000233750,CICP27,capicua transcriptional repressor pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:48835],"ARRAYEXPRESS,ENSG"
ENSG00000237683,None,None,None,
ENSG00000241860,ENSG00000241860,AL627309.5,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000228463,ENSG00000228463,AP006222.1,ribosomal protein L23a (RPL23A) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000237094,ENSG00000237094,AL732372.2,pseudogene similar to part of septin 14 SEPT14,"ARRAYEXPRESS,ENSG"
ENSG00000225972,ENSG00000225972,MTND1P23,MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092],"ARRAYEXPRESS,ENSG"
ENSG00000225630,ENSG00000225630,MTND2P28,MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129],"ARRAYEXPRESS,ENSG"
ENSG00000237973,ENSG00000237973,MTCO1P12,MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014],"ARRAYEXPRESS,ENSG"
ENSG00000229344,ENSG00000229344,MTCO2P12,MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028],"ARRAYEXPRESS,ENSG"
ENSG00000240409,ENSG00000240409,MTATP8P1,MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571],"ARRAYEXPRESS,ENSG"
ENSG00000248527,ENSG00000248527,MTATP6P1,MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575],"ARRAYEXPRESS,ENSG"
ENSG00000198744,ENSG00000198744,MTCO3P12,MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042],"ARRAYEXPRESS,ENSG"
ENSG00000224956,None,None,None,
ENSG00000228327,ENSG00000228327,AL669831.1,general transcription factor IIi (GTF2I) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000230699,ENSG00000230699,AL645608.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272512,ENSG00000272512,AL645608.7,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272141,ENSG00000272141,AL390719.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000260179,ENSG00000260179,AL162741.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000230415,ENSG00000230415,LINC01786,long intergenic non-protein coding RNA 1786 [Source:HGNC Symbol;Acc:HGNC:52575],"ARRAYEXPRESS,ENSG"
ENSG00000240731,ENSG00000240731,AL139287.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272455,ENSG00000272455,AL391244.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000225285,ENSG00000225285,LINC01770,long intergenic non-protein coding RNA 1770 [Source:HGNC Symbol;Acc:HGNC:52560],"ARRAYEXPRESS,ENSG"
ENSG00000272106,ENSG00000272106,AL691432.2,artifact,"ARRAYEXPRESS,ENSG"
ENSG00000269737,ENSG00000269737,AL691432.1,ribosomal protein S7 (RPS7) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000269227,None,None,None,
ENSG00000227775,ENSG00000227775,AL031282.1,ribosomal protein S7 (RPS7) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000231050,ENSG00000231050,AL109917.1,novel transcript,"ARRAYEXPRESS,ENSG"
